# Four-tile direct derivation wait report

allFourTileShapes: 66045
enumeratedDerivations: 5100
tenpaiReports: 3756

## Reducibility

### Reducible
count: 1647
waitCoreCacheHits: 1802
waitCoreCacheMisses: 34
waitCoreCacheEntries: 34

### Irreducible
count: 2109

#### Groups by waitDecompositionCodes
groupCount: 11
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
55m57p	6p	irreducible	[21]	20
9p789s	9p	reducible	[26]	24
789m1p	1p	reducible	[26]	24
111m6s	6s	reducible	[34]	30
33p77z	3p7z	irreducible	[9, 9]	7137
5p456s	5p	reducible	[26]	24
78m11p	69m	irreducible	[15, 15]	11895
5m111s	5m	reducible	[34]	30
33p66z	3p6z	irreducible	[9, 9]	7137
111p6s	6s	reducible	[34]	30
2466m	3m	irreducible	[21]	20
66m13s	2s	irreducible	[21]	20
44m77z	4m7z	irreducible	[9, 9]	7137
111m3z	3z	reducible	[34]	30
111p3z	3z	reducible	[34]	30
1239p	9p	reducible	[26]	24
1p444z	1p	reducible	[34]	30
44m66z	4m6z	irreducible	[9, 9]	7137
3p123s	3p	reducible	[26]	24
1117p	7p	reducible	[34]	30
55m99s	5m9s	irreducible	[9, 9]	7137
79p77s	8p	irreducible	[21]	20
8m333s	8m	reducible	[34]	30
89p88s	7p	irreducible	[33]	29
999m3z	3z	reducible	[34]	30
57p77s	6p	irreducible	[21]	20
66p45s	36s	irreducible	[15, 15]	11895
5m666p	5m	reducible	[34]	30
5579m	8m	irreducible	[21]	20
11m34s	25s	irreducible	[15, 15]	11895
66p66s	6p6s	irreducible	[9, 9]	7137
678m5s	5s	reducible	[26]	24
222p3s	3s	reducible	[34]	30
6p678s	6p	reducible	[26]	24
34m22z	25m	irreducible	[15, 15]	11895
66m44s	6m4s	irreducible	[9, 9]	7137
4445s	356s	irreducible	[15, 15, 34]	18829815
34p66z	25p	irreducible	[15, 15]	11895
6669p	9p	reducible	[34]	30
2377p	14p	irreducible	[15, 15]	11895
11p66z	1p6z	irreducible	[9, 9]	7137
345p2s	2s	reducible	[26]	24
4699p	5p	irreducible	[21]	20
2399s	14s	irreducible	[15, 15]	11895
444p9s	9s	reducible	[34]	30
34p77z	25p	irreducible	[15, 15]	11895
12s11z	3s	irreducible	[33]	29
4p123s	4p	reducible	[26]	24
3334p	245p	irreducible	[15, 15, 34]	18829815
11p77z	1p7z	irreducible	[9, 9]	7137
1112z	2z	reducible	[34]	30
