# Thirteen-tile direct derivation wait report

generationWorkers: 16
classificationWorkers: 8
bucketCount: 256
generationReused: false

allThirteenTileShapes: 98521596000
enumeratedDerivations: 93251547
tenpaiReports: 54747045

## Reducibility

### Reducible
count: 54707433
waitCoreCacheHits: 59314756
waitCoreCacheMisses: 7282138
waitCoreCacheEntries: 7282138

### Irreducible
count: 39612

#### Groups by waitDecompositionCodes
groupCount: 708
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[43095, 43095, 56355, 56355, 60333, 60333, 97682, 97682]	140719352407240895224066	36	2222344566667s	134578s
[25857, 43095, 43095, 56355, 94809, 97682]	224337925750526096	24	5666677888899m	479m
[43095, 43095, 46137, 60333, 74698, 74698]	219658112510268034	60	2334456678888p	3679p
[32955, 32955, 32955, 43095, 43095, 46137, 46137, 74698]	137773994407338624245699	6	2233445556678p	14679p
[32955, 32955, 46137, 46137, 60333]	270244431265091	18	3455566677899p	478p
[43095, 43095, 60333, 60333, 97682, 97682, 123981]	181871620322166342082	18	1233455556888s	3467s
[19773, 19773, 19773, 94809]	357062338301	246	44m12333445566p	4m36p
[19773, 43095, 74698, 74698]	350184449525	54	2222334455678m	58m
[32955, 32955, 32955, 46137, 72501]	276146314332611	300	55m23456677889s	147s
[25857, 56355, 56355, 56355, 56355, 57122, 78897, 127738]	144235065821013457237544	18	3455556666777p	23478p
[19773, 43095, 43095, 56355, 56355, 78897, 94809, 97682]	140719112458337444716661	6	1122223345666s	1346s
[25857, 56355, 56355, 56355, 127738, 127738]	229954569060537896	18	2223444455556s	12367s
[25857, 33813, 33813, 46137, 56355, 56355, 73695, 73695, 127738]	114233199478152475648649648	6	5556777788999p	5689p
[19773, 43095, 43095, 74698]	350155595381	72	2222334456788p	58p
[32955, 32955, 33813, 33813, 43095, 46137, 73695, 73695]	137587904664626120154755	24	4444555566677p	3678p
[32955, 32955, 32955, 46137, 46137, 60333, 60333, 74698, 74698]	109124632024774275226372547	12	2334455667888m	13467m
[43095, 43095, 60333, 60333, 94809, 97682]	224337927258468802	6	3335666778899p	457p
[56355, 56355, 78897, 123981, 127738]	290346196995251	36	1112222344445s	356s
[43095, 43095, 43095, 46137, 74698, 94809]	224020787946939586	30	2345677789999m	1478m
[32955, 32955, 32955, 46137, 60333, 72501, 74698, 74698, 74698]	109124636471917545304644035	12	1234555566778p	134679p
[32955, 32955, 72501]	440215619	78	33445566m56789s	47s
[33813, 33813, 43095, 43095, 43095, 46137, 74698]	173957060891408698574	6	1113334455678s	234569s
[32955, 32955, 32955, 43095, 43095, 60333, 74698, 74698]	137783626282886533275587	48	2222334445566p	13467p
[32955, 32955, 32955, 33813, 33813, 57122, 73695, 73695, 127738]	114233199478446376947247043	18	3334445556788m	258m
[19773, 43095, 43095, 43095, 43095, 60333, 78897, 94809, 97682, 97682]	88268190128790819297132890741	6	4445666677889p	345789p
[33813, 33813, 60333, 74698, 162129]	294658347163598	6	5566677789999m	567m
[19773, 43095, 43095, 94809]	357110698613	186	12345666678p66s	39p6s
[94809]	718	36	89p11123456777s	7p
[60333, 97682]	570134	18	1345666678999s	12s
[25857, 56355, 56355, 60333, 94809, 97682]	224337927256606760	6	3455556788999s	278s
[25857, 25857, 32955, 32955, 46137]	261966845993504	12	2344566667788p	3789p
[32955, 32955, 74698, 103173]	360617086211	12	2233344457888m	679m
[25857, 25857, 25857, 56355]	339691537760	30	2233334455666p	256p
[25857, 25857, 46137, 56355, 56355, 72501]	218714987098555808	6	1122233445666m	1235m
[19773, 19773, 43095, 43095, 60333, 94809]	224013702187064381	408	66m12233445666p	6m36p
[19773, 43095, 43095, 60333, 97682]	283239043695221	42	1233334567778s	6789s
[25857, 25857, 25857, 56355, 56355, 56355, 56355, 56355, 78897, 127738]	90473464131683914391267292512	24	3334555678999p	234569p
[25857, 25857, 32955, 32955, 33813, 33813, 56355, 56355, 73695, 73695, 78897, 78897, 127738]	44946594058173937908852666032479056416	18	3334445567888p	234568p
[43095, 43095, 56355, 56355, 97682, 97682]	224338319226333442	12	2345566667777s	12458s
[32955, 46137]	527315	6	1223333445567p	6p
[19773, 19773, 19773, 43095, 43095, 74698]	219639999381528317	18	1123444556677s	147s
[25857, 25857, 32955, 32955, 56355, 56355, 57122, 78897, 127738]	114234172130242634255958560	12	2333444555567p	12348p
[25857, 25857, 32955, 56355, 56355, 57122, 78897]	174950205017426993696	30	1233444455566p	12567p
[25857, 25857, 56355, 56355, 60333, 94809, 97682, 97682]	140719362379094320823840	6	1222234456777p	1347p
[43095, 43095, 43095, 46137, 74698]	277326709155010	18	3345555667788p	3469p
[43095, 43095, 43095, 94809, 97682, 97682]	224338336598409922	36	1234567777888m	13469m
[19773, 19773, 43095, 43095, 56355, 56355, 60333, 94809, 97682, 97682]	88268190123360220082116652093	6	4445556778899m	45679m
[19773, 43095, 43095, 43095, 78897, 97682]	224333978729441909	6	3334567777889m	3689m
[43095, 43095, 43095, 56355, 56355, 60333, 97682, 97682]	140719352406060499165378	48	3444455677778s	235689s
