# Ten-tile direct derivation wait report

allTenTileShapes: 1900269316
enumeratedDerivations: 5536779
tenpaiReports: 3431439

## Reducibility

### Reducible
count: 3416313
waitCoreCacheHits: 3701891
waitCoreCacheMisses: 295762
waitCoreCacheEntries: 295762

### Irreducible
count: 15126

#### Groups by waitDecompositionCodes
groupCount: 199
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[2535, 2535, 3549, 3549, 4394]	159144921099984	24	1222334456p	25p
[2535, 2535, 3549, 3549, 5746, 5746, 7293]	114652178950853250768	6	1233444456s	2356s
[2535, 2535, 3549, 5746, 5746, 7293]	144762852210641616	6	4555567789s	3467s
[3315, 7514, 9537]	313374968	6	1111222233s	34s
[2535, 2535, 2601, 2601, 4394, 4394]	126053777010085392	18	4455566677p	47p
[1989, 1989, 4335, 4335, 4335, 4335]	125429779593350011	15	6667777888p	5689p
[1521, 1521, 3315]	231052813	30	2233334455m	256m
[2535, 2535, 2535, 5577, 5746]	170976023400144	12	1222345678p	1369p
[1989, 1989, 2535, 4335, 4335, 6069]	138517837173102331	30	3334445555m	2346m
[4641, 7293, 7514]	293300185	18	6666788889s	79s
[1521, 3315, 3315, 5746]	215839325077	18	3455556788m	28m
[2535, 2535, 2535, 3549, 5746, 5746, 7293]	114652178950828160208	6	3334567789p	24578p
[1521, 1521]	219661	6	1122333344p	14p
[1989, 1989, 2535, 2535, 4394, 4394]	126053774522960635	18	2345556677m	25678m
[2535, 2535, 2601, 2601, 3549, 5746, 7293]	114652156112756248080	6	1122333444m	1235m
[1989, 1989, 4335, 4335, 6069]	174896259033979	6	7777888999s	689s
[2535, 2535, 2535, 3315, 3315, 4641, 5746]	107240261299459466448	18	4455556678s	34679s
[1521, 3315, 3315, 3315, 6069, 7514]	145701615277215637	30	4556666777s	3457s
[3315, 3315, 3549, 5746]	215844343280	6	1112346678p	569p
[2535, 2535, 2535, 4641, 5746, 5746]	135414227179186896	36	4566778888p	34679p
[1989, 1989, 2535, 4335, 4335]	158370892355323	24	5566677778s	4569s
[2535, 2535, 2535, 3315, 3315, 3549, 5746]	107229977825614275792	6	2344555678p	13469p
[2535, 2535, 2535, 3549, 4641, 5746]	135404374281872592	12	1112334567p	2358p
[3315, 3315, 3549, 4641, 5577, 5746]	135413046823925744	18	6666778889p	578p
[4641, 4641, 7514]	293256625	12	2223457999p	678p
[4641, 6069, 7293, 7514]	232293774649	6	6667889999m	78m
[1521, 1521, 3315, 3315, 4641, 7293, 7514, 7514]	91399084414502133941773	6	1234555666p	13456p
[1989, 1989, 3315, 3315, 4335, 4335, 7514]	115382604619577930491	30	5566667888m	4578m
[3315, 3315, 4641, 6069, 7514]	183966711673904	30	4444556777p	356p
[2535, 2535, 2535, 3549, 5746, 5746, 5746]	107248077782290887888	12	2344445678p	235689p
[3549, 4641, 5577, 5746]	215878875280	6	1223456777m	23m
[1521, 3315, 3315, 3315, 4641, 7514, 7514]	115402862701069688725	12	1233334555s	12456s
[1521, 1521, 3315, 3315, 3315, 3315, 3315, 7514]	91374620948953818871309	12	2345556777m	145678m
[2535, 2535, 2601, 2601, 3549, 4641, 5746]	107240264433730194960	30	6677788999s	5678s
[3315, 3315, 3315, 4641, 7514]	183949298198000	12	1113444567p	2358p
[1521, 3315, 3315, 3315, 7514, 9537]	155682518285746069	6	6667788889s	5679s
